1,AIRO,JFOX,Fixed-wing,Light,F,I,1P,S,
1,MOLNIYA,MOL1,Fixed-wing,Light,F,I,1P,S,
1,SAFAT,PA18,Fixed-wing,Light,F,I,1P,S,
1,SOLARIMPULSE,SOL1,Fixed-wing,Light,F,III,4E,S,
2,FLEET,FLE2,Fixed-wing,Light,F,I,1P,S,
2,SOKO,SOK2,Fixed-wing,Light,F,I,1P,S,
2,SOLARIMPULSE,SOL2,Fixed-wing,Light,F,III,4E,S,
2,SAFAT,ZA6,Helicopter,Light,F,I,1P,S,
3,SAFAT,UT75,Fixed-wing,Light,F,I,1P,S,
4,TRAVELAIR,TVL4,Fixed-wing,Light,F,I,1P,S,
5,AIRO,UF10,Fixed-wing,Light,F,I,1P,S,
7,FLEET,FLE7,Fixed-wing,Light,F,I,1P,S,
8,,L8,Fixed-wing,Light,F,I,1P,S,
9,WACO,WAC9,Fixed-wing,Light,F,I,1P,S,
10,FLEET,FINC,Fixed-wing,Light,F,I,1P,S,
10,ORION,OR10,Fixed-wing,Light,F,I,1P,S,
10,WACO,WACO,Fixed-wing,Light,F,I,1P,S,
11,BLERIOT,BL11,Fixed-wing,Light,F,I,1P,S,
11,FLEET,FINC,Fixed-wing,Light,F,I,1P,S,
18,VOLPAR,BE18,Fixed-wing,Light,F,II,2P,S,
18,,UM18,Gyrocopter,Light,F,I,1P,S,
20,ULTIMATE,UL20,Fixed-wing,Light,F,I,1P,S,
23,LEARJET,LJ23,Fixed-wing,Light,F,III,2J,S,
24,,LJ24,Fixed-wing,Light,F,III,2J,S+,
25,,LJ25,Fixed-wing,Light,F,III,2J,S+,
28,GATESLEARJET,LJ28,Fixed-wing,Light,F,III,2J,S+,
29,GATESLEARJET,LJ28,Fixed-wing,Light,F,III,2J,S+,
29,SAAB,SB29*,Fixed-wing,Medium,F,III,1J,S+,
30,WESTLAND,WG30,Helicopter,Light,F,I,2T,S+,
31,,LJ31,Fixed-wing,Medium,F,III,2J,S+,
35,,LJ35,Fixed-wing,Medium,F,III,2J,S+,
36,,LJ35,Fixed-wing,Medium,F,III,2J,S+,
40,LEARJET,LJ40,Fixed-wing,Medium,F,III,2J,S+,
45,AERO(2),AE45,Fixed-wing,Light,F,II,2P,S,
45,LEARJET,LJ45,Fixed-wing,Medium,F,III,2J,S+,
50,FOKKER,F50,Fixed-wing,Medium,D,III,2T,L,
50,LUSCOMBE,L8,Fixed-wing,Light,F,I,1P,S,
55,,LJ55,Fixed-wing,Medium,F,III,2J,S+,
60,FOKKER,F60,Fixed-wing,Medium,D,III,2T,L,
60,LEARJET,LJ60,Fixed-wing,Medium,F,III,2J,S+,
60,UTVA,UT60,Fixed-wing,Light,F,I,1P,S,
61,JETSTREAM,ATP,Fixed-wing,Medium,D,III,2T,L,
65,RILEY,C310,Fixed-wing,Light,F,II,2P,S,
66,UTVA,UT66,Fixed-wing,Light,F,I,1P,S,
70,FOKKER,F70,Fixed-wing,Medium,D,III,2J,L,
70,LEARJET,LJ70,Fixed-wing,Medium,F,III,2J,S+,
75,LEARJET,LJ75,Fixed-wing,Medium,F,III,2J,S+,
75,UTVA,UT75,Fixed-wing,Light,F,I,1P,S,
85,LEARJET,LJ85,Fixed-wing,Medium,F,III,2J,S+,
90,EXPRESS,EXPR,Fixed-wing,Light,F,I,1P,S,
90,AEROSTAR(1),M10,Fixed-wing,Light,F,I,1P,S,
90,MONOCOUPE,MC90,Fixed-wing,Light,F,I,1P,S,
100,FOKKER,F100,Fixed-wing,Medium,D,III,2J,L,
100,LILIENTHAL,LX32,Fixed-wing,Light,F,I,1P,S,
101,SCWAL,SCW1,Fixed-wing,Light,F,I,1P,S,
105,STINSON,S10,Fixed-wing,Light,F,I,1P,S,
105,SAAB,SB05*,Fixed-wing,Light,F,III,2J,S,
107,,H46,Helicopter,Medium,F,I,2T,S+,
107,SPRATT,S107,$Fixed-wing,Light,F,I,1P,S,
114,BOEINGVERTOL,H47,Helicopter,Medium,E,I,2T,L,
120,CESSNA,C120,Fixed-wing,Light,F,I,1P,S,
125,WACO,WACO,Fixed-wing,Light,F,I,1P,S,
140,CESSNA,C140,Fixed-wing,Light,F,I,1P,S,
150,,C150,Fixed-wing,Light,F,I,1P,S,
152,,C152,Fixed-wing,Light,F,I,1P,S,
166,TRECKER,P66P,Fixed-wing,Light,F,II,2P,S,
170,CESSNA,C170,Fixed-wing,Light,F,I,1P,S,
170,EMBRAER,E170,Fixed-wing,Medium,E,III,2J,L,
172,,C172,Fixed-wing,Light,F,I,1P,S,
175,CESSNA,C175,Fixed-wing,Light,F,I,1P,S,
175,EMBRAER,E170,Fixed-wing,Medium,E,III,2J,L,
177,CESSNA,C177,Fixed-wing,Light,F,I,1P,S,
180,CESSNA,C180,Fixed-wing,Light,F,I,1P,S,
182,,C182,Fixed-wing,Light,F,I,1P,S,
185,AVIONESCOLOMBIA,C185,Fixed-wing,Light,F,I,1P,S,
188,AVIONESCOLOMBIA,C188,Fixed-wing,Light,F,I,1P,S,
190,CESSNA,C190,Fixed-wing,Light,F,I,1P,S,
190,EMBRAER,E190,Fixed-wing,Medium,D,III,2J,L,
192,FOURWINDS,FW19,Fixed-wing,Light,F,I,1P,S,
195,CESSNA,C195,Fixed-wing,Light,F,I,1P,S,
195,EMBRAER,E190,Fixed-wing,Medium,D,III,2J,L,
200,HUGHES,H269,Helicopter,Light,F,I,1P,S,
200,MEYERS,M200,Fixed-wing,Light,F,I,1P,S,
200,AEROSTAR(1),M20P,Fixed-wing,Light,F,I,1P,S,
201,,M20P,Fixed-wing,Light,F,I,1P,S,
201,WEATHERLY,W201,Fixed-wing,Light,F,I,1P,S,
202,AEROSTAR(1),M20P,Fixed-wing,Light,F,I,1P,S,
204,BELL,UH1,Helicopter,Light,F,I,1T,S,
204,FUJI,UH1,Helicopter,Light,F,I,1T,S,
205,CESSNA,C205,Fixed-wing,Light,F,I,1P,S,
205,MOONEY,M20P,Fixed-wing,Light,F,I,1P,S,
205,,UH1,Helicopter,Light,F,I,1T,S,
206,AVIONESCOLOMBIA,C206,Fixed-wing,Light,F,I,1P,S,
210,,C210,Fixed-wing,Light,F,I,1P,S,
210,BELL,UH1,Helicopter,Light,F,I,1T,S,
212,BELL,B212,Helicopter,Light,F,I,2T,S,
220,AEROSTAR(1),M20P,Fixed-wing,Light,F,I,1P,S,
222,BELL,B222,Helicopter,Light,F,I,2T,S,
228,FAIRCHILDDORNIER,D228,Fixed-wing,Light,F,III,2T,S+,
230,BELL,B230,Helicopter,Light,F,I,2T,S,
230,PETERSON,C182,Fixed-wing,Light,F,I,1P,S,
231,MOONEY,M20T,Fixed-wing,Light,F,I,1P,S,
234,BOEINGVERTOL,H47,Helicopter,Medium,E,I,2T,L,
250,HOWARD(2),L18,Fixed-wing,Medium,E,III,2P,S+,
260,PETERSON,C182,Fixed-wing,Light,F,I,1P,S,
262,NORD,N262,Fixed-wing,Medium,F,III,2T,S+,
269,,H269,Helicopter,Light,F,I,1P,S,
272,MARTIN,WB57*,Fixed-wing,Medium,E,III,2J,L,
280,WUHAN,EN28,Helicopter,Light,F,I,1P,S,
280,HUGHES,H269,Helicopter,Light,F,I,1P,S,
300,HUGHES,H269,Helicopter,Light,F,I,1P,S,
300,SCHWEIZER,H269,Helicopter,Light,F,I,1P,S,
301,BELL,XV15,Tilt-rotor,Light,F,II,2T,S+,
305,BRANTLY,B305,Helicopter,Light,F,I,1P,S,
305,CLAASSEN,O1,Fixed-wing,Light,F,I,1P,S,
310,,C310,Fixed-wing,Light,F,II,2P,S,
325,REINSDORF,XA42,Fixed-wing,Light,F,I,1P,S,
328,,D328,Fixed-wing,Medium,F,III,2T,S+,
330,SCHWEIZER,S330,Helicopter,Light,F,I,1T,S,
330,SHORT,SH33,Fixed-wing,Medium,F,III,2T,S+,
333,SCHWEIZER,S330,Helicopter,Light,F,I,1T,S,
335,CESSNA,C335,Fixed-wing,Light,F,II,2P,S,
337,AVIONESCOLOMBIA,C337,Fixed-wing,Light,F,II,2P,S,
340,,C340,Fixed-wing,Light,F,II,2P,S,
340,SAAB,SF34,Fixed-wing,Medium,E,III,2T,S+,
350,CESSNA,COL3,Fixed-wing,Light,F,I,1P,S,
350,HOWARD(2),L18,Fixed-wing,Medium,E,III,2P,S+,
360,SHORT,SH36,Fixed-wing,Medium,F,III,2T,S+,
360,SLICK,SLK3,Fixed-wing,Light,F,I,1P,S,
369,KAWASAKI,H500,Helicopter,Light,F,I,1T,S,
400,AVTEK,AVK4,Fixed-wing,Light,F,II,2T,S,
400,CESSNA,COL4,Fixed-wing,Light,F,I,1P,S,
401,CESSNA,C402,Fixed-wing,Light,F,II,2P,S,
402,,C402,Fixed-wing,Light,F,II,2P,S,
404,MARTIN,M404,Fixed-wing,Medium,D,III,2P,L,
406,BELL,B06,Helicopter,Light,F,I,1T,S,
407,BELL,B407,Helicopter,Light,F,I,1T,S,
411,CESSNA,C411,Fixed-wing,Light,F,II,2P,S,
412,BELL,B412,Helicopter,Light,F,I,2T,S,
414,,C414,Fixed-wing,Light,F,II,2P,S,
414,BOEINGVERTOL,H47,Helicopter,Medium,E,I,2T,L,
421,CESSNA,C421,Fixed-wing,Light,F,II,2P,S,
427,BELL,B427,Helicopter,Light,F,I,2T,S,
430,BELL,B430,Helicopter,Light,F,I,2T,S,
450,HAWKERBEECHCRAFT,BE45,Fixed-wing,Medium,F,III,2J,S+,
460,,C182,Fixed-wing,Light,F,I,1P,S,
480,ENSTROM,EN48,Helicopter,Light,F,I,1T,S,
500,KOREANAIR,H500,Helicopter,Light,F,I,1T,S,
500,HOWARD(2),L37,Fixed-wing,Medium,F,III,2P,S+,
